AFp1,1,29
AF7,2,32
F7,3,31
T7,4,28
C3,5,26
CP5,6,22
TP9,7,23
P7,8,24
PO9,9,21
O1,10,19
P3,11,17
CP1,12,20
CZ,13,13
PZ,14,12
OZ,15,3
O2,16,2
PO10,17,4
P8,18,8
P4,19,11
CP2,20,9
C4,21,10
CP6,22,1
TP10,23,5
T8,24,6
FT8,25,7
F8,26,16
AF8,27,15
AFp2,28,30
F2,29,18
FC2,30,14
FC1,31,25
F1,32,27
